Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
A. Lazard,GB,24,160,24,165,29,7.00%,28,7.60%,100,788,28,900,6,62,60%,0,Feb-55
C. Olave,NO,25,155,27,153,37,3.80%,32,3.60%,119,1042,20,996,4,61,61%,2,Mar-65
D. Slayton,NYG,26,148,25,161,16,13.50%,13,15.80%,71,724,44,678,2,38,65%,2,Mar-55
G. Davis,BUF,27,146,31,136,28,7.00%,30,5.70%,93,836,36,820,7,83,52%,1,Mar-40
K. Allen,LAC,28,146,30,143,27,8.00%,27,7.60%,89,752,40,788,4,5,74%,1,0/0
C. Watson,GB,29,133,28,151,21,11.40%,16,14.70%,66,611,47,646,7,53,62%,0,Feb-54
C. Kupp,LAR,30,132,26,155,33,4.50%,29,7.50%,98,812,35,824,6,4,77%,2,0/0
R. James,NYG,31,128,29,149,19,12.20%,10,16.30%,70,569,51,607,4,1,81%,0,0/0
D. Peoples-Jones,CLE,32,127,32,125,36,3.90%,33,3.60%,96,839,38,815,3,47,64%,1,Mar-62
D. Chark,DET,33,124,34,119,10,16.30%,15,15.00%,52,502,62,533,3,72,58%,0,Jan-34
J. Dotson,WAS,34,121,33,120,18,12.40%,21,12.20%,61,523,54,571,7,73,57%,0,0/0
D. London,ATL,35,119,35,113,42,0.10%,46,-0.60%,117,866,23,939,4,55,62%,3,17-Feb
O. Zaccheaus,ATL,36,118,36,112,20,11.50%,24,10.40%,61,533,55,570,3,33,66%,1,Mar-78
M. Hollins,LV,37,113,39,105,38,3.40%,38,2.20%,94,690,41,743,4,59,61%,0,Jan-47
A. Thielen,MIN,38,111,38,105,43,0.10%,45,-0.50%,107,716,31,869,6,35,65%,0,Apr-85
C. Sutton,DEN,39,93,37,108,48,-1.80%,43,-0.10%,109,829,33,838,2,66,59%,0,5/122
I. McKenzie,BUF,40,93,42,80,30,5.20%,35,2.80%,65,423,58,560,4,40,65%,0,21-Jan
Z. Jones,JAX,41,89,41,88,51,-3.40%,51,-3.50%,121,834,26,915,5,27,68%,0,7-Jan
J. Palmer,LAC,42,87,40,92,49,-2.60%,50,-2.00%,107,769,34,834,3,29,67%,1,5/101
K. Raymond,DET,43,86,50,70,31,5.10%,39,1.80%,64,616,65,524,0,6,73%,1,0/0
D. Carter,LAC,44,82,47,73,39,2.70%,40,1.00%,65,538,59,559,3,13,71%,1,11-Jan
N. Brown,DAL,45,80,48,73,41,0.80%,44,-0.50%,74,555,52,606,3,71,58%,1,Mar-67
J. Reynolds,DET,46,74,43,78,40,1.60%,36,2.40%,59,479,63,530,3,41,64%,0,7-Feb
M. Valdes-Scantling,KC,47,73,51,70,47,-1.40%,48,-1.90%,81,687,49,634,2,82,52%,0,9-Jan
R. Gage,TB,48,71,45,75,44,0.00%,41,0.80%,70,426,57,562,5,9,73%,1,0/0
K. Osborn,MIN,49,69,44,76,50,-2.90%,49,-1.90%,90,650,43,679,5,31,67%,1,13-Jan
C. Godwin,TB,50,64,46,75,58,-7.00%,58,-6.10%,143,1023,19,1023,3,7,73%,2,0/0
G. Wilson,NYJ,51,64,49,71,59,-7.20%,60,-6.60%,147,1103,18,1047,4,76,56%,1,Apr-71
C. Samuel,WAS,52,61,52,56,53,-4.20%,53,-4.90%,92,656,46,676,4,20,70%,0,17-Jan
D. Metcalf,SEA,53,52,53,53,63,-7.90%,64,-7.90%,141,1048,22,975,6,46,64%,2,Feb-37
R. Cobb,GB,54,47,54,50,45,-0.90%,42,-0.10%,50,417,74,396,1,25,68%,1,11-Jan
B. Cooks,HOU,55,44,55,47,57,-6.90%,59,-6.40%,93,699,45,676,3,56,61%,0,Mar-58
T. Sherfield,MIA,56,43,56,45,46,-1.40%,47,-0.90%,51,417,76,374,2,65,59%,0,0/0
C. Davis,NYJ,57,43,58,39,52,-4.10%,52,-4.90%,64,536,67,469,2,84,50%,0,0/0
D. Mooney,CHI,58,38,59,36,54,-4.90%,55,-5.30%,61,493,68,448,2,33,66%,0,20-Jan
D. Moore,CAR,59,34,66,25,67,-9.10%,69,-10.00%,119,888,37,818,7,79,53%,0,6-Jan
M. Gallup,DAL,60,33,64,29,60,-7.20%,63,-7.90%,74,424,60,548,4,80,53%,0,3/116
A. Robinson,LAR,61,32,62,32,55,-5.20%,54,-5.10%,52,339,73,396,3,48,63%,0,1-Jan
P. Campbell,IND,62,31,57,42,65,-8.40%,62,-6.90%,91,622,48,645,3,22,69%,1,Feb-48
C. Moore,HOU,63,31,60,34,62,-7.50%,61,-6.80%,74,548,64,525,2,37,65%,0,Feb-47
M. Jones,JAX,64,26,67,23,66,-8.60%,66,-9.10%,81,529,56,564,3,75,57%,0,24-Feb
T. Burks,TEN,65,25,63,30,56,-6.70%,57,-5.50%,54,444,75,382,1,57,61%,0,0/0
G. Dortch,ARI,66,21,61,34,64,-8.20%,56,-5.40%,64,467,72,410,2,2,81%,0,0/0
N. Westbrook-Ikhine,TEN,67,21,68,15,61,-7.30%,65,-8.70%,50,397,81,346,3,84,50%,0,6-Jan
J. Jennings,SF,68,14,69,13,68,-9.40%,68,-9.60%,56,416,77,373,1,52,63%,1,0/0
A. Pierce,IND,69,13,70,11,69,-10.50%,70,-10.80%,78,593,66,509,2,81,53%,1,24-Feb
